Section,Township,Township Direction,Range,Range Direction,Baseline,Easting,Northing,API
34.0,2.0,2.0,4.0,2.0,2.0,556826.0128,4457302.336,4301353936.0
34.0,2.0,2.0,4.0,2.0,2.0,556828.3285,4456885.539,4301353936.0
34.0,2.0,2.0,4.0,2.0,2.0,556830.6442,4456468.742,4301353936.0
30.0,2.0,2.0,1.0,1.0,2.0,590533.7353,4458650.888,4304756074.0
30.0,2.0,2.0,1.0,1.0,2.0,590533.7353,4458650.888,4304756074.0
30.0,2.0,2.0,1.0,1.0,2.0,591344.8631,4458645.461,4304756074.0
30.0,2.0,2.0,1.0,1.0,2.0,592146.5017,4458640.412,4304756074.0
30.0,2.0,2.0,1.0,1.0,2.0,592146.5017,4458640.412,4304756074.0
30.0,2.0,2.0,1.0,1.0,2.0,592146.5017,4458640.412,4304756074.0
30.0,2.0,2.0,1.0,1.0,2.0,592146.5017,4458640.412,4304756074.0
30.0,2.0,2.0,1.0,1.0,2.0,592140.2155,4459443.746,4304756074.0
30.0,2.0,2.0,1.0,1.0,2.0,592149.8583,4460248.625,4304756074.0
30.0,2.0,2.0,1.0,1.0,2.0,592149.8583,4460248.625,4304756074.0
30.0,2.0,2.0,1.0,1.0,2.0,592149.8583,4460248.625,4304756074.0
30.0,2.0,2.0,1.0,1.0,2.0,591745.0038,4460249.968,4304756074.0
30.0,2.0,2.0,1.0,1.0,2.0,591340.1524,4460251.31,4304756074.0
30.0,2.0,2.0,1.0,1.0,2.0,590526.9854,4460262.649,4304756074.0
30.0,2.0,2.0,1.0,1.0,2.0,590526.9854,4460262.649,4304756074.0
30.0,2.0,2.0,1.0,1.0,2.0,590526.9854,4460262.649,4304756074.0
30.0,2.0,2.0,1.0,1.0,2.0,590526.9854,4460262.649,4304756074.0
30.0,2.0,2.0,1.0,1.0,2.0,590527.1768,4459457.13,4304756074.0
30.0,2.0,2.0,1.0,1.0,2.0,590533.7346,4458651.037,4304756074.0
30.0,2.0,2.0,1.0,1.0,2.0,590533.7346,4458651.037,4304756074.0
26.0,4.0,2.0,2.0,1.0,2.0,607025.2192,4439650.329,4304756721.0
26.0,4.0,2.0,2.0,1.0,2.0,607427.4032,4439669.081,4304756721.0
26.0,4.0,2.0,2.0,1.0,2.0,607829.5873,4439687.832,4304756721.0
26.0,4.0,2.0,2.0,1.0,2.0,608231.6678,4439701.822,4304756721.0
26.0,4.0,2.0,2.0,1.0,2.0,608649.8703,4439716.412,4304756721.0
26.0,4.0,2.0,2.0,1.0,2.0,608649.8703,4439716.412,4304756721.0
26.0,4.0,2.0,2.0,1.0,2.0,608624.8195,4440116.657,4304756721.0
26.0,4.0,2.0,2.0,1.0,2.0,608599.7687,4440516.903,4304756721.0
26.0,4.0,2.0,2.0,1.0,2.0,608574.7347,4440917.192,4304756721.0
26.0,4.0,2.0,2.0,1.0,2.0,608549.6695,4441317.418,4304756721.0
26.0,4.0,2.0,2.0,1.0,2.0,608549.6695,4441317.418,4304756721.0
26.0,4.0,2.0,2.0,1.0,2.0,608175.9996,4441303.186,4304756721.0
26.0,4.0,2.0,2.0,1.0,2.0,607771.6188,4441287.789,4304756721.0
26.0,4.0,2.0,2.0,1.0,2.0,607367.263,4441272.416,4304756721.0
26.0,4.0,2.0,2.0,1.0,2.0,606962.9073,4441257.043,4304756721.0
26.0,4.0,2.0,2.0,1.0,2.0,606962.9073,4441257.043,4304756721.0
26.0,4.0,2.0,2.0,1.0,2.0,606978.4084,4440855.567,4304756721.0
26.0,4.0,2.0,2.0,1.0,2.0,606993.9095,4440454.091,4304756721.0
26.0,4.0,2.0,2.0,1.0,2.0,607009.5628,4440052.212,4304756721.0
26.0,4.0,2.0,2.0,1.0,2.0,607025.216,4439650.333,4304756721.0
7.0,4.0,2.0,3.0,2.0,2.0,561639.2566,4443821.447,4301354179.0
7.0,4.0,2.0,3.0,2.0,2.0,562104.085,4443813.782,4301354179.0
7.0,4.0,2.0,3.0,2.0,2.0,562568.9135,4443806.117,4301354179.0
7.0,4.0,2.0,3.0,2.0,2.0,562975.6514,4443811.289,4301354179.0
7.0,4.0,2.0,3.0,2.0,2.0,563382.3894,4443816.462,4301354179.0
7.0,4.0,2.0,3.0,2.0,2.0,563382.3894,4443816.462,4301354179.0
7.0,4.0,2.0,3.0,2.0,2.0,563372.0883,4444219.016,4301354179.0
7.0,4.0,2.0,3.0,2.0,2.0,563361.7873,4444621.57,4301354179.0
7.0,4.0,2.0,3.0,2.0,2.0,563351.4863,4445024.124,4301354179.0
7.0,4.0,2.0,3.0,2.0,2.0,563341.1852,4445426.678,4301354179.0
7.0,4.0,2.0,3.0,2.0,2.0,563341.1852,4445426.678,4301354179.0
7.0,4.0,2.0,3.0,2.0,2.0,562939.7606,4445424.199,4301354179.0
7.0,4.0,2.0,3.0,2.0,2.0,562538.336,4445421.719,4301354179.0
7.0,4.0,2.0,3.0,2.0,2.0,562079.2871,4445425.02,4301354179.0
7.0,4.0,2.0,3.0,2.0,2.0,561620.2381,4445428.32,4301354179.0
7.0,4.0,2.0,3.0,2.0,2.0,561620.2381,4445428.32,4301354179.0
7.0,4.0,2.0,3.0,2.0,2.0,561623.7609,4445027.55,4301354179.0
7.0,4.0,2.0,3.0,2.0,2.0,561627.2836,4444626.779,4301354179.0
7.0,4.0,2.0,3.0,2.0,2.0,561633.2694,4444224.113,4301354179.0
7.0,4.0,2.0,3.0,2.0,2.0,561639.2553,4443821.446,4301354179.0
31.0,3.0,2.0,1.0,1.0,2.0,590660.9654,4447298.446,4304755827.0
31.0,3.0,2.0,1.0,1.0,2.0,591063.5868,4447306.181,4304755827.0
31.0,3.0,2.0,1.0,1.0,2.0,591466.2082,4447313.915,4304755827.0
31.0,3.0,2.0,1.0,1.0,2.0,591868.7554,4447323.078,4304755827.0
31.0,3.0,2.0,1.0,1.0,2.0,592271.3026,4447332.24,4304755827.0
31.0,3.0,2.0,1.0,1.0,2.0,592271.3026,4447332.24,4304755827.0
31.0,3.0,2.0,1.0,1.0,2.0,592264.8578,4447739.106,4304755827.0
31.0,3.0,2.0,1.0,1.0,2.0,592258.4397,4448145.903,4304755827.0
31.0,3.0,2.0,1.0,1.0,2.0,592250.1866,4448547.433,4304755827.0
31.0,3.0,2.0,1.0,1.0,2.0,592241.9334,4448948.963,4304755827.0
31.0,3.0,2.0,1.0,1.0,2.0,592241.9334,4448948.963,4304755827.0
31.0,3.0,2.0,1.0,1.0,2.0,591840.0122,4448942.494,4304755827.0
31.0,3.0,2.0,1.0,1.0,2.0,591438.091,4448936.024,4304755827.0
31.0,3.0,2.0,1.0,1.0,2.0,591035.8457,4448932.613,4304755827.0
31.0,3.0,2.0,1.0,1.0,2.0,590633.6247,4448927.987,4304755827.0
31.0,3.0,2.0,1.0,1.0,2.0,590633.6247,4448927.987,4304755827.0
31.0,3.0,2.0,1.0,1.0,2.0,590638.8533,4448523.175,4304755827.0
31.0,3.0,2.0,1.0,1.0,2.0,590645.8957,4448119.941,4304755827.0
31.0,3.0,2.0,1.0,1.0,2.0,590653.4385,4447708.609,4304755827.0
31.0,3.0,2.0,1.0,1.0,2.0,590660.9654,4447298.446,4304755827.0
8.0,3.0,2.0,1.0,1.0,2.0,592199.3937,4453785.877,4304756710.0
8.0,3.0,2.0,1.0,1.0,2.0,592199.3937,4453785.877,4304756710.0
8.0,3.0,2.0,1.0,1.0,2.0,593000.4424,4453811.436,4304756710.0
8.0,3.0,2.0,1.0,1.0,2.0,593804.2989,4453837.306,4304756710.0
8.0,3.0,2.0,1.0,1.0,2.0,593804.2989,4453837.306,4304756710.0
8.0,3.0,2.0,1.0,1.0,2.0,593804.2989,4453837.306,4304756710.0
8.0,3.0,2.0,1.0,1.0,2.0,593804.2989,4453837.306,4304756710.0
8.0,3.0,2.0,1.0,1.0,2.0,593775.318,4454642.152,4304756710.0
8.0,3.0,2.0,1.0,1.0,2.0,593746.3288,4455445.493,4304756710.0
8.0,3.0,2.0,1.0,1.0,2.0,593746.3288,4455445.493,4304756710.0
8.0,3.0,2.0,1.0,1.0,2.0,593746.3288,4455445.493,4304756710.0
8.0,3.0,2.0,1.0,1.0,2.0,593746.3288,4455445.493,4304756710.0
8.0,3.0,2.0,1.0,1.0,2.0,592945.161,4455419.277,4304756710.0
8.0,3.0,2.0,1.0,1.0,2.0,592144.0624,4455393.091,4304756710.0
8.0,3.0,2.0,1.0,1.0,2.0,592144.0624,4455393.091,4304756710.0
8.0,3.0,2.0,1.0,1.0,2.0,592144.0624,4455393.091,4304756710.0
8.0,3.0,2.0,1.0,1.0,2.0,592144.0624,4455393.091,4304756710.0
8.0,3.0,2.0,1.0,1.0,2.0,592171.2779,4454588.928,4304756710.0
8.0,3.0,2.0,1.0,1.0,2.0,592199.395,4453785.879,4304756710.0
8.0,3.0,2.0,1.0,1.0,2.0,592199.395,4453785.879,4304756710.0
2.0,3.0,2.0,2.0,2.0,2.0,577779.4827,4455232.283,4301354006.0
2.0,3.0,2.0,2.0,2.0,2.0,577779.4827,4455232.283,4301354006.0
2.0,3.0,2.0,2.0,2.0,2.0,578590.6112,4455248.121,4301354006.0
2.0,3.0,2.0,2.0,2.0,2.0,578993.7975,4455256.42,4301354006.0
2.0,3.0,2.0,2.0,2.0,2.0,579397.9009,4455264.447,4301354006.0
2.0,3.0,2.0,2.0,2.0,2.0,579397.9009,4455264.447,4301354006.0
2.0,3.0,2.0,2.0,2.0,2.0,579397.9009,4455264.447,4301354006.0
2.0,3.0,2.0,2.0,2.0,2.0,579381.879,4456064.326,4301354006.0
2.0,3.0,2.0,2.0,2.0,2.0,579373.8217,4456466.581,4301354006.0
2.0,3.0,2.0,2.0,2.0,2.0,579365.6387,4456875.806,4301354006.0
2.0,3.0,2.0,2.0,2.0,2.0,579365.6387,4456875.806,4301354006.0
2.0,3.0,2.0,2.0,2.0,2.0,578963.4846,4456868.026,4301354006.0
2.0,3.0,2.0,2.0,2.0,2.0,578561.1236,4456860.23,4301354006.0
2.0,3.0,2.0,2.0,2.0,2.0,578158.099,4456854.342,4301354006.0
2.0,3.0,2.0,2.0,2.0,2.0,577755.1235,4456848.444,4301354006.0
2.0,3.0,2.0,2.0,2.0,2.0,577755.1235,4456848.444,4301354006.0
2.0,3.0,2.0,2.0,2.0,2.0,577761.3694,4456434.892,4301354006.0
2.0,3.0,2.0,2.0,2.0,2.0,577767.4248,4456034.596,4301354006.0
2.0,3.0,2.0,2.0,2.0,2.0,577779.4761,4455232.282,4301354006.0
2.0,3.0,2.0,2.0,2.0,2.0,577779.4761,4455232.282,4301354006.0
31.0,2.0,2.0,2.0,2.0,2.0,571266.5558,4456725.873,4301354117.0
31.0,2.0,2.0,2.0,2.0,2.0,571643.1263,4456727.561,4301354117.0
