Section,Township,Township Direction,Range,Range Direction,Baseline,Easting,Northing,API
25.0,3.0,2.0,5.0,2.0,2.0,550373.5724,4448349.34,4301353969.0
25.0,3.0,2.0,5.0,2.0,2.0,550775.1189,4448349.552,4301353969.0
25.0,3.0,2.0,5.0,2.0,2.0,551176.6959,4448349.706,4301353969.0
25.0,3.0,2.0,5.0,2.0,2.0,551578.2729,4448349.86,4301353969.0
25.0,3.0,2.0,5.0,2.0,2.0,551984.0103,4448355.962,4301353969.0
25.0,3.0,2.0,5.0,2.0,2.0,551984.0103,4448355.962,4301353969.0
25.0,3.0,2.0,5.0,2.0,2.0,551984.0103,4448355.962,4301353969.0
25.0,3.0,2.0,5.0,2.0,2.0,551985.518,4449159.542,4301353969.0
25.0,3.0,2.0,5.0,2.0,2.0,551986.7858,4449966.651,4301353969.0
25.0,3.0,2.0,5.0,2.0,2.0,551986.7858,4449966.651,4301353969.0
25.0,3.0,2.0,5.0,2.0,2.0,551986.7858,4449966.651,4301353969.0
25.0,3.0,2.0,5.0,2.0,2.0,551986.7858,4449966.651,4301353969.0
25.0,3.0,2.0,5.0,2.0,2.0,551180.8759,4449962.912,4301353969.0
25.0,3.0,2.0,5.0,2.0,2.0,550374.9262,4449959.2,4301353969.0
25.0,3.0,2.0,5.0,2.0,2.0,550374.9262,4449959.2,4301353969.0
25.0,3.0,2.0,5.0,2.0,2.0,550374.9262,4449959.2,4301353969.0
25.0,3.0,2.0,5.0,2.0,2.0,550374.9262,4449959.2,4301353969.0
25.0,3.0,2.0,5.0,2.0,2.0,550374.013,4449154.269,4301353969.0
25.0,3.0,2.0,5.0,2.0,2.0,550373.0998,4448349.339,4301353969.0
25.0,3.0,2.0,5.0,2.0,2.0,550373.0998,4448349.339,4301353969.0
25.0,3.0,2.0,5.0,2.0,2.0,550373.5724,4448349.34,4301353969.0
25.0,3.0,2.0,5.0,2.0,2.0,550775.1189,4448349.552,4301353969.0
25.0,3.0,2.0,5.0,2.0,2.0,551176.6959,4448349.706,4301353969.0
25.0,3.0,2.0,5.0,2.0,2.0,551578.2729,4448349.86,4301353969.0
25.0,3.0,2.0,5.0,2.0,2.0,551984.0103,4448355.962,4301353969.0
25.0,3.0,2.0,5.0,2.0,2.0,551984.0103,4448355.962,4301353969.0
25.0,3.0,2.0,5.0,2.0,2.0,551984.0103,4448355.962,4301353969.0
25.0,3.0,2.0,5.0,2.0,2.0,551985.518,4449159.542,4301353969.0
25.0,3.0,2.0,5.0,2.0,2.0,551986.7858,4449966.651,4301353969.0
25.0,3.0,2.0,5.0,2.0,2.0,551986.7858,4449966.651,4301353969.0
25.0,3.0,2.0,5.0,2.0,2.0,551986.7858,4449966.651,4301353969.0
25.0,3.0,2.0,5.0,2.0,2.0,551986.7858,4449966.651,4301353969.0
25.0,3.0,2.0,5.0,2.0,2.0,551180.8759,4449962.912,4301353969.0
25.0,3.0,2.0,5.0,2.0,2.0,550374.9262,4449959.2,4301353969.0
25.0,3.0,2.0,5.0,2.0,2.0,550374.9262,4449959.2,4301353969.0
25.0,3.0,2.0,5.0,2.0,2.0,550374.9262,4449959.2,4301353969.0
25.0,3.0,2.0,5.0,2.0,2.0,550374.9262,4449959.2,4301353969.0
25.0,3.0,2.0,5.0,2.0,2.0,550374.013,4449154.269,4301353969.0
25.0,3.0,2.0,5.0,2.0,2.0,550373.0998,4448349.339,4301353969.0
25.0,3.0,2.0,5.0,2.0,2.0,550373.0998,4448349.339,4301353969.0
22.0,2.0,2.0,3.0,2.0,2.0,566405.0759,4459921.616,4301353789.0
22.0,2.0,2.0,3.0,2.0,2.0,566807.8435,4459919.94,4301353789.0
22.0,2.0,2.0,3.0,2.0,2.0,567210.6111,4459918.265,4301353789.0
22.0,2.0,2.0,3.0,2.0,2.0,567613.3787,4459916.59,4301353789.0
22.0,2.0,2.0,3.0,2.0,2.0,568016.1463,4459914.914,4301353789.0
22.0,2.0,2.0,3.0,2.0,2.0,568016.1463,4459914.914,4301353789.0
22.0,2.0,2.0,3.0,2.0,2.0,568016.432,4460313.09,4301353789.0
22.0,2.0,2.0,3.0,2.0,2.0,568016.7177,4460711.265,4301353789.0
22.0,2.0,2.0,3.0,2.0,2.0,568028.9562,4461113.752,4301353789.0
22.0,2.0,2.0,3.0,2.0,2.0,568041.1947,4461516.238,4301353789.0
22.0,2.0,2.0,3.0,2.0,2.0,568041.1947,4461516.238,4301353789.0
22.0,2.0,2.0,3.0,2.0,2.0,567637.1925,4461518.066,4301353789.0
22.0,2.0,2.0,3.0,2.0,2.0,567233.1904,4461519.893,4301353789.0
22.0,2.0,2.0,3.0,2.0,2.0,566829.1882,4461521.721,4301353789.0
22.0,2.0,2.0,3.0,2.0,2.0,566425.186,4461523.548,4301353789.0
22.0,2.0,2.0,3.0,2.0,2.0,566425.186,4461523.548,4301353789.0
22.0,2.0,2.0,3.0,2.0,2.0,566416.1236,4461123.174,4301353789.0
22.0,2.0,2.0,3.0,2.0,2.0,566407.0611,4460722.8,4301353789.0
22.0,2.0,2.0,3.0,2.0,2.0,566406.0687,4460322.207,4301353789.0
22.0,2.0,2.0,3.0,2.0,2.0,566405.0763,4459921.614,4301353789.0
21.0,9.0,2.0,21.0,1.0,1.0,622350.0518,4430343.62,4304753636.0
21.0,9.0,2.0,21.0,1.0,1.0,622350.0518,4430343.62,4304753636.0
21.0,9.0,2.0,21.0,1.0,1.0,623153.3812,4430354.79,4304753636.0
21.0,9.0,2.0,21.0,1.0,1.0,623955.2715,4430349.53,4304753636.0
21.0,9.0,2.0,21.0,1.0,1.0,623955.2715,4430349.53,4304753636.0
21.0,9.0,2.0,21.0,1.0,1.0,623955.2715,4430349.53,4304753636.0
21.0,9.0,2.0,21.0,1.0,1.0,623955.2715,4430349.53,4304753636.0
21.0,9.0,2.0,21.0,1.0,1.0,623960.699,4431155.504,4304753636.0
21.0,9.0,2.0,21.0,1.0,1.0,623961.4498,4431962.098,4304753636.0
21.0,9.0,2.0,21.0,1.0,1.0,623961.4498,4431962.098,4304753636.0
21.0,9.0,2.0,21.0,1.0,1.0,623961.4498,4431962.098,4304753636.0
21.0,9.0,2.0,21.0,1.0,1.0,623961.4498,4431962.098,4304753636.0
21.0,9.0,2.0,21.0,1.0,1.0,623156.502,4431960.522,4304753636.0
21.0,9.0,2.0,21.0,1.0,1.0,622350.4005,4431960.702,4304753636.0
21.0,9.0,2.0,21.0,1.0,1.0,622350.4005,4431960.702,4304753636.0
21.0,9.0,2.0,21.0,1.0,1.0,622350.4005,4431960.702,4304753636.0
21.0,9.0,2.0,21.0,1.0,1.0,622350.4005,4431960.702,4304753636.0
21.0,9.0,2.0,21.0,1.0,1.0,622350.5898,4431147.361,4304753636.0
21.0,9.0,2.0,21.0,1.0,1.0,622350.052,4430343.622,4304753636.0
21.0,9.0,2.0,21.0,1.0,1.0,622350.052,4430343.622,4304753636.0
36.0,7.0,2.0,20.0,1.0,1.0,616958.9875,4446333.067,4304755941.0
36.0,7.0,2.0,20.0,1.0,1.0,616958.9875,4446333.067,4304755941.0
36.0,7.0,2.0,20.0,1.0,1.0,617769.0235,4446341.718,4304755941.0
36.0,7.0,2.0,20.0,1.0,1.0,618579.0645,4446350.465,4304755941.0
36.0,7.0,2.0,20.0,1.0,1.0,618579.0645,4446350.465,4304755941.0
36.0,7.0,2.0,20.0,1.0,1.0,618579.0645,4446350.465,4304755941.0
36.0,7.0,2.0,20.0,1.0,1.0,618572.61,4446730.377,4304755941.0
36.0,7.0,2.0,20.0,1.0,1.0,618565.156,4447152.724,4304755941.0
36.0,7.0,2.0,20.0,1.0,1.0,618559.2286,4447554.08,4304755941.0
36.0,7.0,2.0,20.0,1.0,1.0,618557.2233,4447971.865,4304755941.0
36.0,7.0,2.0,20.0,1.0,1.0,618557.2233,4447971.865,4304755941.0
36.0,7.0,2.0,20.0,1.0,1.0,618557.2233,4447971.865,4304755941.0
36.0,7.0,2.0,20.0,1.0,1.0,617771.1106,4447989.514,4304755941.0
36.0,7.0,2.0,20.0,1.0,1.0,616985.8627,4448007.257,4304755941.0
36.0,7.0,2.0,20.0,1.0,1.0,616985.8627,4448007.257,4304755941.0
36.0,7.0,2.0,20.0,1.0,1.0,616985.8627,4448007.257,4304755941.0
36.0,7.0,2.0,20.0,1.0,1.0,616979.2074,4447588.131,4304755941.0
36.0,7.0,2.0,20.0,1.0,1.0,616972.5013,4447169.002,4304755941.0
36.0,7.0,2.0,20.0,1.0,1.0,616965.7226,4446750.917,4304755941.0
36.0,7.0,2.0,20.0,1.0,1.0,616958.9883,4446333.066,4304755941.0
21.0,9.0,2.0,21.0,1.0,1.0,622350.0518,4430343.62,4304753636.0
21.0,9.0,2.0,21.0,1.0,1.0,622350.0518,4430343.62,4304753636.0
