Section,Township,Township Direction,Range,Range Direction,Baseline,Easting,Northing,Latitude,Longitude,Conc,Version
28,9,2,19,1,1,603515.9649887305,4428266.352231576,39.99824273079311,-109.78734399998542,2809S19ES,AGRC V.1
28,9,2,19,1,1,603495.6826807095,4428411.650409967,39.999554030792886,-109.7875583999854,2809S19ES,AGRC V.1
28,9,2,19,1,1,603487.1802004543,4428661.974914007,40.00180994079309,-109.78761809998544,2809S19ES,AGRC V.1
28,9,2,19,1,1,603486.742721006,4428674.677978599,40.00192442079309,-109.78762119998542,2809S19ES,AGRC V.1
28,9,2,19,1,1,603543.985904344,4428900.600222552,40.00395246079472,-109.78691469998537,2809S19ES,AGRC V.1
28,9,2,19,1,1,603605.9497381515,4428975.858602282,40.00462277079623,-109.78617689998535,2809S19ES,AGRC V.1
28,9,2,19,1,1,603667.1127286835,4429011.441958597,40.00493579079768,-109.7854547999853,2809S19ES,AGRC V.1
28,9,2,19,1,1,603753.4181832433,4429049.466935514,40.00526771079971,-109.78443779998528,2809S19ES,AGRC V.1
28,9,2,19,1,1,603781.3548051135,4429061.777772929,40.005375170800356,-109.78410859998525,2809S19ES,AGRC V.1
28,9,2,19,1,1,604465.1824452538,4429490.436516195,40.0091520908169,-109.77602969998483,2809S19ES,AGRC V.1
28,9,2,19,1,1,604465.5852446429,4429459.869413265,40.00887670081688,-109.77602989998483,2809S19ES,AGRC V.1
28,9,2,19,1,1,604368.134465057,4429493.060671085,40.00918773081463,-109.7771660999849,2809S19ES,AGRC V.1
28,9,2,19,1,1,604465.135818872,4429494.452426781,40.00918827081693,-109.77602959998484,2809S19ES,AGRC V.1
28,9,2,19,1,1,604465.1824452538,4429490.436516195,40.0091520908169,-109.77602969998483,2809S19ES,AGRC V.1
13,9,2,19,1,1,607220.2986935086,4432331.59098827,40.03439868089094,-109.74328699998297,1309S19ES,AGRC V.1
13,9,2,19,1,1,607313.0054153854,4432585.024309604,40.036669710893854,-109.7421586999829,1309S19ES,AGRC V.1
13,9,2,19,1,1,607335.7743929005,4432627.790250341,40.03705203089455,-109.74188479998286,1309S19ES,AGRC V.1
13,9,2,19,1,1,607373.7372944764,4432666.594500149,40.03739673089563,-109.74143349998285,1309S19ES,AGRC V.1
13,9,2,19,1,1,607404.7455544414,4432695.108089143,40.03764962089652,-109.74106539998282,1309S19ES,AGRC V.1
13,9,2,19,1,1,607408.7726558476,4432832.76827482,40.03888909089684,-109.74099539998282,1309S19ES,AGRC V.1
13,9,2,19,1,1,607726.1856169463,4433238.681523046,40.04250489090617,-109.73720819998258,1309S19ES,AGRC V.1
13,9,2,19,1,1,607756.2660514101,4433239.108177085,40.042504890907026,-109.73685559998256,1309S19ES,AGRC V.1
13,9,2,19,1,1,607776.5357943771,4433239.395745706,40.04250489090758,-109.73661799998254,1309S19ES,AGRC V.1
13,9,2,19,1,1,607826.996877282,4433240.111876517,40.04250489090899,-109.73602649998249,1309S19ES,AGRC V.1
13,9,2,19,1,1,608158.1893923618,4433244.781542383,40.04250454091826,-109.73214429998227,1309S19ES,AGRC V.1
13,9,2,19,1,1,608563.0587182457,4433253.915449457,40.04253479092976,-109.72739789998197,1309S19ES,AGRC V.1
13,9,2,19,1,1,608967.919284809,4433263.0708292965,40.04256504094149,-109.72265159998167,1309S19ES,AGRC V.1
13,9,2,19,1,1,608977.0117435299,4432858.244066589,40.03891739094111,-109.72261309998169,1309S19ES,AGRC V.1
13,9,2,19,1,1,608986.0953063692,4432453.4362930665,40.0352699109407,-109.72257469998168,1309S19ES,AGRC V.1
