Section,Township,Township Direction,Range,Range Direction,Baseline,Easting,Northing,API,Conc
22,2,2,3,2,2,568028.9641,4461114.604,4301353776,2222322
22,2,2,3,2,2,568041.2026,4461517.091,4301353776,2222322
22,2,2,3,2,2,568041.2026,4461517.091,4301353776,2222322
22,2,2,3,2,2,567637.2005,4461518.919,4301353776,2222322
22,2,2,3,2,2,567233.1983,4461520.746,4301353776,2222322
22,2,2,3,2,2,566829.1961,4461522.574,4301353776,2222322
22,2,2,3,2,2,566425.194,4461524.401,4301353776,2222322
22,2,2,3,2,2,566425.194,4461524.401,4301353776,2222322
22,2,2,3,2,2,566416.1315,4461124.027,4301353776,2222322
22,2,2,3,2,2,566407.069,4460723.653,4301353776,2222322
22,2,2,3,2,2,566406.0766,4460323.06,4301353776,2222322
22,2,2,3,2,2,566405.0842,4459922.467,4301353776,2222322
16,7,2,22,1,1,631511.1656,4452385.555,4304756596,16722211
16,7,2,22,1,1,631511.1656,4452385.555,4304756596,16722211
16,7,2,22,1,1,632318.2789,4452390.537,4304756596,16722211
16,7,2,22,1,1,633124.519,4452396.201,4304756596,16722211
16,7,2,22,1,1,633124.519,4452396.201,4304756596,16722211
16,7,2,22,1,1,633124.519,4452396.201,4304756596,16722211
16,7,2,22,1,1,633124.519,4452396.201,4304756596,16722211
16,7,2,22,1,1,633124.519,4452396.201,4304756596,16722211
16,7,2,22,1,1,633118.6833,4453201.342,4304756596,16722211
16,7,2,22,1,1,633118.6833,4453201.342,4304756596,16722211
16,7,2,22,1,1,633118.6833,4453201.342,4304756596,16722211
16,7,2,22,1,1,633118.6833,4453201.342,4304756596,16722211
16,7,2,22,1,1,632312.2139,4453195.767,4304756596,16722211
16,7,2,22,1,1,631505.8207,4453190.207,4304756596,16722211
16,7,2,22,1,1,631505.8207,4453190.207,4304756596,16722211
16,7,2,22,1,1,631505.8207,4453190.207,4304756596,16722211
16,7,2,22,1,1,631505.8207,4453190.207,4304756596,16722211
16,7,2,22,1,1,631511.2449,4452385.307,4304756596,16722211
16,7,2,22,1,1,631511.2449,4452385.307,4304756596,16722211
16,7,2,22,1,1,631511.2449,4452385.307,4304756596,16722211
2,3,2,2,2,2,577696.794,4455242.748,4301353505,232222
2,3,2,2,2,2,577696.794,4455242.748,4301353505,232222
2,3,2,2,2,2,578508.0717,4455245.702,4301353505,232222
2,3,2,2,2,2,578911.339,4455247.596,4301353505,232222
2,3,2,2,2,2,579315.5189,4455249.205,4301353505,232222
2,3,2,2,2,2,579315.5189,4455249.205,4301353505,232222
2,3,2,2,2,2,579315.5189,4455249.205,4301353505,232222
2,3,2,2,2,2,579312.2026,4456049.237,4301353505,232222
2,3,2,2,2,2,579310.5349,4456451.57,4301353505,232222
2,3,2,2,2,2,579308.8521,4456860.873,4301353505,232222
2,3,2,2,2,2,579308.8521,4456860.873,4301353505,232222
2,3,2,2,2,2,578906.6252,4456859.481,4301353505,232222
2,3,2,2,2,2,578504.1911,4456858.076,4301353505,232222
2,3,2,2,2,2,578101.1239,4456858.59,4301353505,232222
2,3,2,2,2,2,577698.1055,4456859.092,4301353505,232222
2,3,2,2,2,2,577698.1055,4456859.092,4301353505,232222
2,3,2,2,2,2,577697.7826,4456445.494,4301353505,232222
2,3,2,2,2,2,577697.4798,4456045.152,4301353505,232222
2,3,2,2,2,2,577696.7874,4455242.748,4301353505,232222
2,3,2,2,2,2,577696.7874,4455242.748,4301353505,232222
19,9,2,21,1,1,619009.8814,4430285.559,4304754584,19922111
19,9,2,21,1,1,619009.8814,4430285.559,4304754584,19922111
19,9,2,21,1,1,619934.3433,4430292.999,4304754584,19922111
19,9,2,21,1,1,620738.3234,4430293.229,4304754584,19922111
19,9,2,21,1,1,620738.3234,4430293.229,4304754584,19922111
19,9,2,21,1,1,620738.3234,4430293.229,4304754584,19922111
19,9,2,21,1,1,620738.3234,4430293.229,4304754584,19922111
19,9,2,21,1,1,620737.5342,4431103.155,4304754584,19922111
19,9,2,21,1,1,620736.7724,4431913.097,4304754584,19922111
19,9,2,21,1,1,620736.7724,4431913.097,4304754584,19922111
19,9,2,21,1,1,620736.7724,4431913.097,4304754584,19922111
19,9,2,21,1,1,620736.7724,4431913.097,4304754584,19922111
19,9,2,21,1,1,619930.8751,4431913.249,4304754584,19922111
19,9,2,21,1,1,618984.6864,4431908.07,4304754584,19922111
19,9,2,21,1,1,618984.6864,4431908.07,4304754584,19922111
19,9,2,21,1,1,618984.6864,4431908.07,4304754584,19922111
19,9,2,21,1,1,618985.1773,4431877.463,4304754584,19922111
19,9,2,21,1,1,618997.6974,4431096.861,4304754584,19922111
19,9,2,21,1,1,618997.9751,4431077.045,4304754584,19922111
19,9,2,21,1,1,619009.0655,4430285.554,4304754584,19922111
36,5,2,6,2,2,541160.0464,4427429.397,4301353967,3652622
36,5,2,6,2,2,541561.0585,4427426.99,4301353967,3652622
36,5,2,6,2,2,541962.0705,4427424.583,4301353967,3652622
36,5,2,6,2,2,542362.6891,4427428.067,4301353967,3652622
36,5,2,6,2,2,542763.3076,4427431.552,4301353967,3652622
36,5,2,6,2,2,542763.3076,4427431.552,4301353967,3652622
36,5,2,6,2,2,542763.2355,4427833.251,4301353967,3652622
36,5,2,6,2,2,542763.1635,4428234.95,4301353967,3652622
36,5,2,6,2,2,542764.2896,4428636.83,4301353967,3652622
36,5,2,6,2,2,542765.4158,4429038.71,4301353967,3652622
36,5,2,6,2,2,542765.4158,4429038.71,4301353967,3652622
36,5,2,6,2,2,542364.0447,4429037.525,4301353967,3652622
36,5,2,6,2,2,541962.6736,4429036.34,4301353967,3652622
36,5,2,6,2,2,541562.191,4429037.954,4301353967,3652622
36,5,2,6,2,2,541161.7084,4429039.567,4301353967,3652622
36,5,2,6,2,2,541161.7084,4429039.567,4301353967,3652622
36,5,2,6,2,2,541159.7219,4428638.254,4301353967,3652622
36,5,2,6,2,2,541157.7354,4428236.941,4301353967,3652622
36,5,2,6,2,2,541158.8923,4427833.17,4301353967,3652622
36,5,2,6,2,2,541160.0492,4427429.398,4301353967,3652622
15,9,2,22,1,1,633484.2116,4432119.908,4304756526,15922211
15,9,2,22,1,1,633885.9348,4432119.672,4304756526,15922211
15,9,2,22,1,1,634287.6581,4432119.437,4304756526,15922211
15,9,2,22,1,1,634691.5981,4432118.078,4304756526,15922211
15,9,2,22,1,1,635095.5381,4432116.719,4304756526,15922211
15,9,2,22,1,1,635095.5381,4432116.719,4304756526,15922211
15,9,2,22,1,1,635095.014,4432520.118,4304756526,15922211
15,9,2,22,1,1,635094.4899,4432923.517,4304756526,15922211
15,9,2,22,1,1,635094.5134,4433327.909,4304756526,15922211
15,9,2,22,1,1,635094.5369,4433732.301,4304756526,15922211
15,9,2,22,1,1,635094.5369,4433732.301,4304756526,15922211
15,9,2,22,1,1,634690.8057,4433733.65,4304756526,15922211
15,9,2,22,1,1,634287.0744,4433734.998,4304756526,15922211
15,9,2,22,1,1,633884.7947,4433733.926,4304756526,15922211
15,9,2,22,1,1,633482.515,4433732.853,4304756526,15922211
15,9,2,22,1,1,633482.515,4433732.853,4304756526,15922211
15,9,2,22,1,1,633483.0924,4433331.852,4304756526,15922211
15,9,2,22,1,1,633483.6698,4432930.852,4304756526,15922211
15,9,2,22,1,1,633483.9392,4432525.265,4304756526,15922211
15,9,2,22,1,1,633484.2086,4432119.679,4304756526,15922211
34,2,2,4,2,2,556831.003,4456468.767,4301353931,3422422
34,2,2,4,2,2,557231.1078,4456469.903,4301353931,3422422
34,2,2,4,2,2,557631.2125,4456471.04,4301353931,3422422
34,2,2,4,2,2,558031.3549,4456472.346,4301353931,3422422
34,2,2,4,2,2,558431.4973,4456473.651,4301353931,3422422
34,2,2,4,2,2,558431.4973,4456473.651,4301353931,3422422
34,2,2,4,2,2,558431.9054,4456886.301,4301353931,3422422
34,2,2,4,2,2,558432.3135,4457298.952,4301353931,3422422
34,2,2,4,2,2,558432.7097,4457699.582,4301353931,3422422
34,2,2,4,2,2,558433.106,4458100.213,4301353931,3422422
34,2,2,4,2,2,558433.106,4458100.213,4301353931,3422422
34,2,2,4,2,2,558031.436,4458100.074,4301353931,3422422
34,2,2,4,2,2,557629.766,4458099.936,4301353931,3422422
34,2,2,4,2,2,557225.8401,4458102.359,4301353931,3422422
34,2,2,4,2,2,556821.9142,4458104.781,4301353931,3422422
34,2,2,4,2,2,556821.9142,4458104.781,4301353931,3422422
34,2,2,4,2,2,556824.1428,4457703.663,4301353931,3422422
34,2,2,4,2,2,556826.3714,4457302.545,4301353931,3422422
34,2,2,4,2,2,556828.6872,4456885.748,4301353931,3422422
34,2,2,4,2,2,556831.0029,4456468.951,4301353931,3422422
5,3,2,1,1,2,592188.4594,4455392.958,4304756009,532112
5,3,2,1,1,2,592589.1772,4455398.988,4304756009,532112
